ClassId,SignName,,,,,,,,,,,
0,Speed limit (20km/h),,,,,10070,,110,,,,
1,Speed limit (30km/h),,,,,2330,,320,,2330,4199,1869
2,Speed limit (50km/h),,,,,31549,,1010,,,,
3,Speed limit (60km/h),,,,,5480,,1340,,,,
4,Speed limit (70km/h),,,,,6920,,1880,,,,
5,Speed limit (80km/h),,,,,12470,,2330,,,,
6,End of speed limit (80km/h),,,,,21560,,4310,,,,
7,Speed limit (100km/h),,,,,23840,,4610,,,,
8,Speed limit (120km/h),,,,,15980,,4940,,,,
9,No passing,,,,,11150,,5120,,,,
10,No passing for vehicles over 3.5 metric tons,,,,,17240,,5480,,,,
11,Right-of-way at the next intersection,,,,,8690,,6740,,,,
12,Priority road,,,,,27439,,6920,,,,
13,Yield,,,,,21920,,8690,,,,
14,Stop,,,,,29329,,9860,,29218,29908,690
15,No vehicles,,,,,30019,,10070,,29909,30448,539
16,Vehicles over 3.5 metric tons prohibited,,,,,5120,,10250,,,,
17,No entry,,,,,30559,,10460,,,,
18,General caution,,,,,20480,,10670,,,,
19,Dangerous curve to the left,,,,,6740,,10910,,,,
20,Dangerous curve to the right,,,,,26060,,11150,,,,
21,Double curve,,,,,25790,,12470,,,,
22,Bumpy road,,,,,4610,,14120,,,,
23,Slippery road,,,,,1880,,15980,,,,
24,Road narrows on the right,,,,,10910,,17240,,,,
25,Road work,,,,,33559,,19040,,,,
26,Traffic signals,,,,,1340,,20120,,,,
27,Pedestrians,,,,,10460,,20480,,,,
28,Children crossing,,,,,26959,,21560,,,,
29,Bicycles crossing,,,,,10670,,21920,,,,
30,Beware of ice/snow,,,,,25130,,23840,,,,
31,Wild animals crossing,,,,,320,,25130,,,,
32,End of all speed and passing limits,,,,,10250,,25520,,,,
33,Turn right ahead,,,,,26360,,25790,,,,
34,Turn left ahead,,,,,20120,,26060,,,,
35,Ahead only,,,,,19040,,26360,,,,
36,Go straight or right,,,,,1010,,26959,,,,
37,Go straight or left,,,,,4940,,27439,,,,
38,Keep right,,,,,14120,,29329,,,,
39,Keep left,,,,,25520,,30019,,,,
40,Roundabout mandatory,,,,,4310,,30559,,,,
41,End of no passing,,,,,110,,31549,,,,
42,End of no passing by vehicles over 3.5 metric tons,,,,,9860,,33559,,,,
